Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category
42595,Jackpot,1980,BaseGame,5 to under 12,2,6,1.0,1,30,1,0,0,0,1,1,2.0,1.0,Median_Games
20517,The Con Game,1989,BaseGame,under 5,2,6,2.3333,3,60,52,4,2,1,15,10,6.23333,1.948399887316008,Average_Games
37879,Lineage,2008,BaseGame,5 to under 12,2,2,2.0,3,50,22,1,5,14,9,6,6.83333,1.711317698429467,Average_Games
54577,Steeplechase,2012,BaseGame,5 to under 12,2,10,2.0,1,10,22,0,0,4,14,8,7.27142,1.711317698429467,Short_Games
17736,Nino Delfino,2010,BaseGame,under 5,2,4,1.0,4,20,37,0,0,1,33,9,4.93939,1.0,Median_Games
17271,Trivial Pursuit: Know-It-All Edition,1998,BaseGame,12 to under 18,2,6,2.0,5,90,108,1,1,5,40,11,5.525,1.711317698429467,Long_Games
12903,The Mob,1993,BaseGame,12 to under 18,2,6,1.875,24,60,289,15,6,16,150,49,6.319,1.6224029861257834,Average_Games
26541,Winner's Eye View,1995,BaseGame,under 5,2,6,3.0,1,120,6,0,1,1,1,0,6.0,2.422635396858934,Long_Games
17597,Where There's A Will,2002,BaseGame,5 to under 12,2,6,1.0,5,45,73,5,1,1,30,11,4.97167,1.0,Median_Games
32539,Novo Dice,2006,BaseGame,under 5,2,4,1.0,1,20,11,1,6,3,19,7,4.63684,1.0,Median_Games
63341,Microvores,2014,BaseGame,12 to under 18,2,4,1.5,2,45,16,1,2,3,12,6,6.91667,1.3556588492147337,Median_Games
